seqnames	start	end	width	strand	promoterId	geneId	internalPromoter
chr2	202645912	202645912	1	-	prmtr.180	ENSG00000003393.10	FALSE
chr2	202047604	202047604	1	+	prmtr.181	ENSG00000003400.10	FALSE
chr2	202050501	202050501	1	+	prmtr.182	ENSG00000003400.10	TRUE
chr2	202052403	202052403	1	+	prmtr.183	ENSG00000003400.10	TRUE
chr2	201980827	201980827	1	+	prmtr.184	ENSG00000003402.15	FALSE
chr2	201981560	201981560	1	+	prmtr.185	ENSG00000003402.15	FALSE
chr2	201981762	201981762	1	+	prmtr.186	ENSG00000003402.15	FALSE
chr2	201983214	201983214	1	+	prmtr.187	ENSG00000003402.15	FALSE
chr2	201987200	201987200	1	+	prmtr.188	ENSG00000003402.15	FALSE
chr2	201994052	201994052	1	+	prmtr.189	ENSG00000003402.15	TRUE
chr2	201997502	201997502	1	+	prmtr.190	ENSG00000003402.15	FALSE
chr2	201997595	201997595	1	+	prmtr.191	ENSG00000003402.15	TRUE
chr2	202004909	202004909	1	+	prmtr.192	ENSG00000003402.15	TRUE
chr2	202013674	202013674	1	+	prmtr.193	ENSG00000003402.15	TRUE
chr2	188361703	188361703	1	-	prmtr.194	ENSG00000003436.10	TRUE
chr2	188384587	188384587	1	-	prmtr.195	ENSG00000003436.10	TRUE
chr2	188419219	188419219	1	-	prmtr.196	ENSG00000003436.10	TRUE
chr2	188430487	188430487	1	-	prmtr.197	ENSG00000003436.10	FALSE
chr2	37458774	37458774	1	+	prmtr.198	ENSG00000003509.11	FALSE
chr2	37458910	37458910	1	+	prmtr.199	ENSG00000003509.11	FALSE
chr2	37469082	37469082	1	+	prmtr.200	ENSG00000003509.11	TRUE
chr2	37471064	37471064	1	+	prmtr.201	ENSG00000003509.11	TRUE
chr2	37474599	37474599	1	+	prmtr.202	ENSG00000003509.11	FALSE
chr3	50126341	50126341	1	+	prmtr.203	ENSG00000003756.12	FALSE
chr3	50127314	50127314	1	+	prmtr.204	ENSG00000003756.12	FALSE
chr3	50127803	50127803	1	+	prmtr.205	ENSG00000003756.12	TRUE
chr3	50131151	50131151	1	+	prmtr.206	ENSG00000003756.12	TRUE
chr3	50139770	50139770	1	+	prmtr.207	ENSG00000003756.12	TRUE
chr3	50142010	50142010	1	+	prmtr.208	ENSG00000003756.12	TRUE
chr3	50144173	50144173	1	+	prmtr.209	ENSG00000003756.12	TRUE
chr3	50144462	50144462	1	+	prmtr.210	ENSG00000003756.12	TRUE
chr3	50144914	50144914	1	+	prmtr.211	ENSG00000003756.12	TRUE
chr3	50149497	50149497	1	+	prmtr.212	ENSG00000003756.12	FALSE
chr3	50150047	50150047	1	+	prmtr.213	ENSG00000003756.12	TRUE
chr3	50151462	50151462	1	+	prmtr.214	ENSG00000003756.12	TRUE
chr3	50151684	50151684	1	+	prmtr.215	ENSG00000003756.12	TRUE
chr3	50153978	50153978	1	+	prmtr.216	ENSG00000003756.12	FALSE
chr8	17169182	17169182	1	-	prmtr.217	ENSG00000003987.9	FALSE
chr8	17169372	17169372	1	-	prmtr.218	ENSG00000003987.9	FALSE
chr8	17206566	17206566	1	-	prmtr.219	ENSG00000003987.9	TRUE
chr8	17206746	17206746	1	-	prmtr.220	ENSG00000003987.9	FALSE
chr8	17206994	17206994	1	-	prmtr.221	ENSG00000003987.9	FALSE
chr8	17271037	17271037	1	-	prmtr.222	ENSG00000003987.9	FALSE
chr8	17354597	17354597	1	+	prmtr.223	ENSG00000003989.12	FALSE
chr8	17396286	17396286	1	+	prmtr.224	ENSG00000003989.12	TRUE
chr7	127228399	127228399	1	+	prmtr.225	ENSG00000004059.6	FALSE
chr7	127229099	127229099	1	+	prmtr.226	ENSG00000004059.6	TRUE
chr17	26691378	26691378	1	+	prmtr.227	ENSG00000004139.9	FALSE
chr17	26698683	26698683	1	+	prmtr.228	ENSG00000004139.9	FALSE
chr17	26711689	26711689	1	+	prmtr.229	ENSG00000004139.9	TRUE
chr17	26712119	26712119	1	+	prmtr.230	ENSG00000004139.9	FALSE
chr17	26712450	26712450	1	+	prmtr.231	ENSG00000004139.9	FALSE
chr17	26715017	26715017	1	+	prmtr.232	ENSG00000004139.9	TRUE
chr17	26684545	26684545	1	-	prmtr.233	ENSG00000004142.7	TRUE
chr3	129275877	129275877	1	-	prmtr.234	ENSG00000004399.8	TRUE
chr3	129276066	129276066	1	-	prmtr.235	ENSG00000004399.8	TRUE
chr3	129277540	129277540	1	-	prmtr.236	ENSG00000004399.8	TRUE
chr3	129279257	129279257	1	-	prmtr.237	ENSG00000004399.8	TRUE
chr3	129279785	129279785	1	-	prmtr.238	ENSG00000004399.8	TRUE
chr3	129279899	129279899	1	-	prmtr.239	ENSG00000004399.8	FALSE
chr3	129282056	129282056	1	-	prmtr.240	ENSG00000004399.8	TRUE
chr3	129285009	129285009	1	-	prmtr.241	ENSG00000004399.8	TRUE
chr3	129290047	129290047	1	-	prmtr.242	ENSG00000004399.8	TRUE
chr3	129290701	129290701	1	-	prmtr.243	ENSG00000004399.8	TRUE
chr3	129291825	129291825	1	-	prmtr.244	ENSG00000004399.8	TRUE
chr3	129297391	129297391	1	-	prmtr.245	ENSG00000004399.8	TRUE
chr3	129305528	129305528	1	-	prmtr.246	ENSG00000004399.8	TRUE
chr3	129308370	129308370	1	-	prmtr.247	ENSG00000004399.8	TRUE
chr3	129325661	129325661	1	-	prmtr.248	ENSG00000004399.8	FALSE
chr1	33477958	33477958	1	-	prmtr.249	ENSG00000004455.12	TRUE
chr1	33478888	33478888	1	-	prmtr.250	ENSG00000004455.12	TRUE
chr1	33487304	33487304	1	-	prmtr.251	ENSG00000004455.12	TRUE
chr1	33502593	33502593	1	-	prmtr.252	ENSG00000004455.12	FALSE
chr1	33546597	33546597	1	-	prmtr.253	ENSG00000004455.12	FALSE
chr4	15779898	15779898	1	+	prmtr.254	ENSG00000004468.8	FALSE
chr4	15818219	15818219	1	+	prmtr.255	ENSG00000004468.8	TRUE
chr12	2904119	2904119	1	+	prmtr.256	ENSG00000004478.5	FALSE
chr12	2904823	2904823	1	+	prmtr.257	ENSG00000004478.5	TRUE
chr12	2905847	2905847	1	+	prmtr.258	ENSG00000004478.5	FALSE
chr12	2907933	2907933	1	+	prmtr.259	ENSG00000004478.5	TRUE
chr12	2910344	2910344	1	+	prmtr.260	ENSG00000004478.5	FALSE
chr12	2912363	2912363	1	+	prmtr.261	ENSG00000004478.5	FALSE
chr1	23345941	23345941	1	+	prmtr.262	ENSG00000004487.11	FALSE
chr1	23376918	23376918	1	+	prmtr.263	ENSG00000004487.11	TRUE
chr1	23398617	23398617	1	+	prmtr.264	ENSG00000004487.11	FALSE
chr1	23403727	23403727	1	+	prmtr.265	ENSG00000004487.11	FALSE
chr1	23407366	23407366	1	+	prmtr.266	ENSG00000004487.11	NA
chr3	49977440	49977440	1	+	prmtr.267	ENSG00000004534.10	FALSE
chr3	49977894	49977894	1	+	prmtr.268	ENSG00000004534.10	FALSE
chr3	50018994	50018994	1	+	prmtr.269	ENSG00000004534.10	FALSE
chr3	50036885	50036885	1	+	prmtr.270	ENSG00000004534.10	TRUE
chr3	50084542	50084542	1	+	prmtr.271	ENSG00000004534.10	FALSE
chr3	50091449	50091449	1	+	prmtr.272	ENSG00000004534.10	TRUE
chr3	50096776	50096776	1	+	prmtr.273	ENSG00000004534.10	TRUE
chr3	50103825	50103825	1	+	prmtr.274	ENSG00000004534.10	TRUE
chr17	3794037	3794037	1	-	prmtr.275	ENSG00000004660.10	FALSE
chr17	3796338	3796338	1	-	prmtr.276	ENSG00000004660.10	FALSE
chr17	3798185	3798185	1	-	prmtr.277	ENSG00000004660.10	FALSE
chr12	21654603	21654603	1	-	prmtr.278	ENSG00000004700.11	TRUE
chr7	92861653	92861653	1	+	prmtr.279	ENSG00000004766.11	FALSE
chr7	92885742	92885742	1	+	prmtr.280	ENSG00000004766.11	TRUE
chr7	92887421	92887421	1	+	prmtr.281	ENSG00000004766.11	TRUE
chr7	92888727	92888727	1	+	prmtr.282	ENSG00000004766.11	TRUE
chr7	92900378	92900378	1	+	prmtr.283	ENSG00000004766.11	TRUE
chr7	92905154	92905154	1	+	prmtr.284	ENSG00000004766.11	TRUE
chr7	92924727	92924727	1	+	prmtr.285	ENSG00000004766.11	FALSE
chr7	92950165	92950165	1	+	prmtr.286	ENSG00000004766.11	FALSE
chr7	92952562	92952562	1	+	prmtr.287	ENSG00000004766.11	TRUE
chr7	92963211	92963211	1	+	prmtr.288	ENSG00000004766.11	FALSE
chr7	92979210	92979210	1	+	prmtr.289	ENSG00000004766.11	TRUE
chr19	36247930	36247930	1	-	prmtr.290	ENSG00000004776.7	TRUE
chr19	36248980	36248980	1	-	prmtr.291	ENSG00000004776.7	FALSE
chr19	36265434	36265434	1	+	prmtr.292	ENSG00000004777.14	FALSE
chr19	36266417	36266417	1	+	prmtr.293	ENSG00000004777.14	FALSE
chr19	36268487	36268487	1	+	prmtr.294	ENSG00000004777.14	TRUE
chr19	36272072	36272072	1	+	prmtr.295	ENSG00000004777.14	TRUE
chr19	36273275	36273275	1	+	prmtr.296	ENSG00000004777.14	TRUE
chr19	36273527	36273527	1	+	prmtr.297	ENSG00000004777.14	TRUE
chr19	36275734	36275734	1	+	prmtr.298	ENSG00000004777.14	TRUE
chr16	23602474	23602474	1	-	prmtr.299	ENSG00000004779.5	FALSE
chr16	23607677	23607677	1	-	prmtr.300	ENSG00000004779.5	FALSE
chr7	95216857	95216857	1	-	prmtr.301	ENSG00000004799.7	TRUE
chr7	95219029	95219029	1	-	prmtr.302	ENSG00000004799.7	TRUE
chr7	95222072	95222072	1	-	prmtr.303	ENSG00000004799.7	TRUE
chr7	95225803	95225803	1	-	prmtr.304	ENSG00000004799.7	FALSE
chr6	110746585	110746585	1	-	prmtr.305	ENSG00000004809.9	FALSE
chr6	110778024	110778024	1	-	prmtr.306	ENSG00000004809.9	TRUE
chr6	110796181	110796181	1	-	prmtr.307	ENSG00000004809.9	FALSE
chr6	110797643	110797643	1	-	prmtr.308	ENSG00000004809.9	FALSE
chr6	110797844	110797844	1	-	prmtr.309	ENSG00000004809.9	FALSE
chr3	50380599	50380599	1	-	prmtr.310	ENSG00000004838.9	TRUE
chr3	50381467	50381467	1	-	prmtr.311	ENSG00000004838.9	TRUE
chr3	50384283	50384283	1	-	prmtr.312	ENSG00000004838.9	FALSE
chr7	20654830	20654830	1	+	prmtr.313	ENSG00000004846.12	FALSE
chr7	20686953	20686953	1	+	prmtr.314	ENSG00000004846.12	TRUE
chr7	20762717	20762717	1	+	prmtr.315	ENSG00000004846.12	TRUE
chrX	25034065	25034065	1	-	prmtr.316	ENSG00000004848.6	FALSE
chr7	95751310	95751310	1	-	prmtr.317	ENSG00000004864.9	TRUE
chr7	95813886	95813886	1	-	prmtr.318	ENSG00000004864.9	TRUE
chr7	95814323	95814323	1	-	prmtr.319	ENSG00000004864.9	TRUE
chr7	95818691	95818691	1	-	prmtr.320	ENSG00000004864.9	TRUE
chr7	95938996	95938996	1	-	prmtr.321	ENSG00000004864.9	FALSE
chr7	95951459	95951459	1	-	prmtr.322	ENSG00000004864.9	FALSE
chr7	116593292	116593292	1	+	prmtr.323	ENSG00000004866.14	FALSE
chr7	116594445	116594445	1	+	prmtr.324	ENSG00000004866.14	FALSE
chr7	116654942	116654942	1	+	prmtr.325	ENSG00000004866.14	FALSE
chr7	116660238	116660238	1	+	prmtr.326	ENSG00000004866.14	FALSE
chr7	116716578	116716578	1	+	prmtr.327	ENSG00000004866.14	FALSE
chr7	116739816	116739816	1	+	prmtr.328	ENSG00000004866.14	TRUE
chr7	116759740	116759740	1	+	prmtr.329	ENSG00000004866.14	TRUE
chr7	116813463	116813463	1	+	prmtr.330	ENSG00000004866.14	FALSE
chr7	116822723	116822723	1	+	prmtr.331	ENSG00000004866.14	FALSE
chr7	116859079	116859079	1	+	prmtr.332	ENSG00000004866.14	TRUE
chr17	45201261	45201261	1	-	prmtr.333	ENSG00000004897.7	FALSE
chr17	45214610	45214610	1	-	prmtr.334	ENSG00000004897.7	TRUE
chr17	45219747	45219747	1	-	prmtr.335	ENSG00000004897.7	TRUE
chr17	45234081	45234081	1	-	prmtr.336	ENSG00000004897.7	FALSE
chr17	45234633	45234633	1	-	prmtr.337	ENSG00000004897.7	TRUE
chr17	45247343	45247343	1	-	prmtr.338	ENSG00000004897.7	TRUE
chr17	45249413	45249413	1	-	prmtr.339	ENSG00000004897.7	TRUE
chr17	45258971	45258971	1	-	prmtr.340	ENSG00000004897.7	TRUE
chr17	45266302	45266302	1	-	prmtr.341	ENSG00000004897.7	FALSE
chr17	45266788	45266788	1	-	prmtr.342	ENSG00000004897.7	FALSE
chr17	42339434	42339434	1	-	prmtr.343	ENSG00000004939.9	FALSE
chr17	42345509	42345509	1	-	prmtr.344	ENSG00000004939.9	FALSE
chr7	93116293	93116293	1	-	prmtr.345	ENSG00000004948.9	TRUE
chr7	93189122	93189122	1	-	prmtr.346	ENSG00000004948.9	FALSE
chr7	93203792	93203792	1	-	prmtr.347	ENSG00000004948.9	TRUE
chr7	93204042	93204042	1	-	prmtr.348	ENSG00000004948.9	FALSE
chrX	11129421	11129421	1	+	prmtr.349	ENSG00000004961.10	FALSE
chr17	7131146	7131146	1	-	prmtr.350	ENSG00000004975.7	TRUE
chr17	7131703	7131703	1	-	prmtr.351	ENSG00000004975.7	TRUE
chr17	7132354	7132354	1	-	prmtr.352	ENSG00000004975.7	TRUE
chr17	7132725	7132725	1	-	prmtr.353	ENSG00000004975.7	TRUE
chr17	7133710	7133710	1	-	prmtr.354	ENSG00000004975.7	TRUE
chr17	7134098	7134098	1	-	prmtr.355	ENSG00000004975.7	TRUE
chr17	7137380	7137380	1	-	prmtr.356	ENSG00000004975.7	FALSE
chr17	7137864	7137864	1	-	prmtr.357	ENSG00000004975.7	FALSE
